Timestamp,"Date and time","Phase 1 Forward active Energy kWh","Phase 1 Reverse active Energy kWh","Phase 1 Forward reactive Energy kvarh","Phase 1 Reverse reactive Energy kvarh","Phase 2 Forward active Energy kWh","Phase 2 Reverse active Energy kWh","Phase 2 Forward reactive Energy kvarh","Phase 2 Reverse reactive Energy kvarh","Phase 3 Forward active Energy kWh","Phase 3 Reverse active Energy kWh","Phase 3 Forward reactive Energy kvarh","Phase 3 Reverse reactive Energy kvarh","Forward active Energy kWh - Vector balance","Reverse active Energy kWh - Vector balance"
1666439197,"2022-10-22 13:46:37",0.0000,0.0002,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0007
1666439798,"2022-10-22 13:56:38",0.0000,0.0002,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0009
1666440397,"2022-10-22 14:06:37",0.0000,0.0003,0.0001,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0004,0.0001,0.0000,0.0000,0.0010
1666440997,"2022-10-22 14:16:37",0.0000,0.0003,0.0001,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0005,0.0001,0.0000,0.0000,0.0012
1666441597,"2022-10-22 14:26:37",0.0000,0.0004,0.0001,0.0000,0.0000,0.0005,0.0001,0.0000,0.0000,0.0006,0.0001,0.0000,0.0000,0.0014
1666632997,"2022-10-24 19:36:37",0.0000,0.0004,0.0001,0.0000,0.0000,0.0005,0.0001,0.0000,0.0000,0.0006,0.0001,0.0000,0.0000,0.0015
1666633597,"2022-10-24 19:46:37",0.0000,0.0005,0.0001,0.0000,0.0000,0.0006,0.0001,0.0000,0.0000,0.0006,0.0001,0.0000,0.0000,0.0016
1666634198,"2022-10-24 19:56:38",0.0000,0.0005,0.0001,0.0000,0.0000,0.0006,0.0001,0.0000,0.0000,0.0007,0.0001,0.0000,0.0000,0.0018
1666634797,"2022-10-24 20:06:37",0.0000,0.0007,0.0039,0.0000,0.0000,0.0007,0.0031,0.0000,0.0000,0.0007,0.0031,0.0000,0.0000,0.0021
1666635397,"2022-10-24 20:16:37",0.0000,0.0071,0.0350,0.0000,0.0000,0.0007,0.0282,0.0000,0.0001,0.0007,0.0279,0.0000,0.0000,0.0084
1666635997,"2022-10-24 20:26:37",0.0000,0.0082,0.0658,0.0000,0.0000,0.0007,0.0532,0.0000,0.0003,0.0007,0.0527,0.0000,0.0000,0.0093
1666636597,"2022-10-24 20:36:37",0.0000,0.0678,0.0968,0.0000,0.0000,0.0452,0.0762,0.0000,0.0003,0.0516,0.0721,0.0000,0.0000,0.1642
1666637197,"2022-10-24 20:46:37",0.0000,0.1808,0.1263,0.0000,0.0000,0.1386,0.0977,0.0000,0.0003,0.1584,0.0869,0.0000,0.0000,0.4774
1666637797,"2022-10-24 20:56:37",0.0000,0.2847,0.1540,0.0000,0.0000,0.2238,0.1172,0.0000,0.0003,0.2561,0.1023,0.0000,0.0000,0.7642
1666638398,"2022-10-24 21:06:38",0.0000,0.4147,0.1845,0.0000,0.0000,0.3348,0.1393,0.0000,0.0003,0.3792,0.1207,0.0000,0.0000,1.1284
1666638997,"2022-10-24 21:16:37",0.0000,0.5283,0.2124,0.0000,0.0000,0.4327,0.1599,0.0000,0.0003,0.4864,0.1393,0.0000,0.0000,1.4471
1666639597,"2022-10-24 21:26:37",0.0000,0.6075,0.2408,0.0000,0.0000,0.4952,0.1821,0.0000,0.0003,0.5524,0.1595,0.0000,0.0000,1.6547
1666640197,"2022-10-24 21:36:37",0.0000,0.6751,0.2702,0.0000,0.0000,0.5461,0.2049,0.0000,0.0003,0.6065,0.1799,0.0000,0.0000,1.8273
1666640797,"2022-10-24 21:46:37",0.0000,0.6992,0.3030,0.0000,0.0000,0.5595,0.2293,0.0000,0.0004,0.6228,0.2030,0.0000,0.0000,1.8812
1666641397,"2022-10-24 21:56:37",0.0000,0.7069,0.3376,0.0000,0.0000,0.5596,0.2543,0.0000,0.0005,0.6228,0.2279,0.0000,0.0000,1.8888
1666641997,"2022-10-24 22:06:37",0.0000,0.7145,0.3721,0.0000,0.0000,0.5596,0.2792,0.0000,0.0006,0.6228,0.2527,0.0000,0.0000,1.8963
1666642598,"2022-10-24 22:16:38",0.0000,0.7221,0.4066,0.0000,0.0000,0.5596,0.3042,0.0000,0.0007,0.6228,0.2774,0.0000,0.0000,1.9038
